"","Treatment","Concentration_uM","plate","Rep1_tot","Rep2_tot","Rep3_tot","OR","Rep1","Rep2","Rep3","rep1_freq","rep2_freq","rep3_freq","freq_ave","freq_sd","DMSO_ave","DMSO_sd","DMSO_Normed","overall_sd","Odorant","CAS"
"94","DMSO",-999,"2-11",156373,101679,93324,"102_1",2400,1722,1299,0.0153479181188568,0.0169356504292922,0.0139192490677639,0.0154009392053043,0.00150889950631692,0.0154009392053043,0.00150889950631692,1,0.138556883943578,"DMSO",NA
"95","DMSO",-999,"2-12",158871,155880,68225,"102_1",4834,4002,1365,0.0304272019437153,0.0256735950731332,0.0200073286918285,0.0253693752362257,0.0052165939010261,0.0253693752362257,0.0052165939010261,1,0.290798562263745,"DMSO",NA
"96","DMSO",-999,"2-13",85453,113405,52133,"102_1",2119,2852,729,0.0247972569716686,0.0251488029628323,0.0139834653674256,0.0213098417673089,0.00634726236345642,0.0213098417673089,0.00634726236345642,1,0.421231870999198,"DMSO",NA
"97","DMSO",-999,"2-2",100215,92258,87458,"102_1",2152,3165,1940,0.021473831262785,0.0343059680461315,0.0221820759678932,0.0259872917589366,0.00721288319737212,0.0259872917589366,0.00721288319737212,1,0.392520980491508,"DMSO",NA
"98","DMSO",-999,"2-3",129226,72921,35994,"102_1",3019,2197,643,0.0233621716991937,0.0301284952208554,0.0178640884591876,0.0237849184597456,0.00614312253024295,0.0237849184597456,0.00614312253024295,1,0.36526033134369,"DMSO",NA
"99","DMSO",-999,"2-4",143029,56247,162,"102_1",3484,866,7,0.0243586964881248,0.015396376695646,0.0432098765432099,0.0276549832423269,0.014196718748255,0.0276549832423269,0.014196718748255,1,0.725988224944928,"DMSO",NA
"100","DMSO",-999,"2-5",150886,123561,85528,"102_1",2111,2877,1905,0.0139906949617592,0.0232840459368247,0.0222734075390515,0.0198493828125452,0.0050988738945451,0.0198493828125452,0.0050988738945451,1,0.363280646184041,"DMSO",NA
"101","DMSO",-999,"2-6",83055,54989,22321,"102_1",1777,1840,817,0.0213954608392029,0.0334612377020859,0.0366023027642131,0.0304863337685006,0.00802804773239467,0.0304863337685006,0.00802804773239467,1,0.37240863623496,"DMSO",NA
"102","DMSO",-999,"2-7",89241,70822,42522,"102_1",1871,1694,475,0.0209656996223709,0.0239191211770354,0.0111706881143878,0.0186851696379314,0.00667317384350558,0.0186851696379314,0.00667317384350558,1,0.505068625890398,"DMSO",NA
"103","DMSO",-999,"2-8",226016,162135,128218,"102_1",4851,1739,5008,0.021463082259663,0.0107256298763376,0.0390584785287557,0.0237490635549188,0.0143040854671629,0.0237490635549188,0.0143040854671629,1,0.851782286835304,"DMSO",NA
"104","DMSO",-999,"2-9",241969,122267,35390,"102_1",3691,2503,954,0.0152540201430762,0.0204715908626203,0.0269567674484318,0.0208941261513761,0.00586280442074736,0.0208941261513761,0.00586280442074736,1,0.396822411489833,"DMSO",NA
"105","DMSO",-999,"2-1",142476,101748,90028,"23_1_2",5711,6390,2391,0.0400839439624919,0.0628022172425994,0.0265584040520727,0.0431481884190547,0.0183151766088845,0.0431481884190547,0.0183151766088845,1,0.600293363558795,"DMSO",NA
"106","DMSO",-999,"2-10",202659,124499,119889,"23_1_2",7497,3331,3062,0.0369931757286871,0.0267552349818071,0.0255402914362452,0.0297629007155798,0.00629099988305505,0.0297629007155798,0.00629099988305505,1,0.298923059970658,"DMSO",NA
"107","DMSO",-999,"2-11",156373,101679,93324,"23_1_2",3526,2930,2824,0.0225486497029538,0.028816176398273,0.0302601688740303,0.027208331658419,0.00409948234684294,0.027208331658419,0.00409948234684294,1,0.213079714199251,"DMSO",NA
"108","DMSO",-999,"2-12",158871,155880,68225,"23_1_2",6872,2510,2020,0.0432552196436102,0.0161021298434693,0.0296079149871748,0.0296550881580848,0.0135766063655344,0.0296550881580848,0.0135766063655344,1,0.647451147364239,"DMSO",NA
"109","DMSO",-999,"2-13",85453,113405,52133,"23_1_2",3496,3226,882,0.0409113781844991,0.0284467175168643,0.0169182667408359,0.0287587874807331,0.0119995995738929,0.0287587874807331,0.0119995995738929,1,0.590080387492512,"DMSO",NA
"110","DMSO",-999,"2-2",100215,92258,87458,"23_1_2",3365,1740,3775,0.0335778077134162,0.0188601530490581,0.0431635756591735,0.0318671788072159,0.0122416819139575,0.0318671788072159,0.0122416819139575,1,0.543265931813705,"DMSO",NA
"111","DMSO",-999,"2-3",129226,72921,35994,"23_1_2",5655,1677,1218,0.0437605435438689,0.0229974904348542,0.0338389731621937,0.0335323357136389,0.0103849224116304,0.0335323357136389,0.0103849224116304,1,0.43798017066692,"DMSO",NA
"112","DMSO",-999,"2-4",143029,56247,162,"23_1_2",7981,2229,4,0.055799872753078,0.0396287802016108,0.0246913580246914,0.0400400036597934,0.0155583338022098,0.0400400036597934,0.0155583338022098,1,0.549520595901123,"DMSO",NA
"113","DMSO",-999,"2-5",150886,123561,85528,"23_1_2",3700,3411,3425,0.0245218244237371,0.0276057979459538,0.0400453652604995,0.0307243292100635,0.00821821196864495,0.0307243292100635,0.00821821196864495,1,0.378276991665218,"DMSO",NA
"114","DMSO",-999,"2-6",83055,54989,22321,"23_1_2",4158,1133,438,0.050063211125158,0.0206041208241648,0.0196227767573137,0.0300967029022122,0.0172984637181198,0.0300967029022122,0.0172984637181198,1,0.812837275826178,"DMSO",NA
"115","DMSO",-999,"2-7",89241,70822,42522,"23_1_2",3977,1915,1530,0.0445647180107798,0.0270396204569202,0.0359813743473966,0.0358619042716989,0.00876315958386669,0.0358619042716989,0.00876315958386669,1,0.345575043613181,"DMSO",NA
"116","DMSO",-999,"2-8",226016,162135,128218,"23_1_2",3176,4355,4283,0.0140521025060173,0.0268603324390169,0.0334040462337581,0.0247721603929308,0.00984351453399413,0.0247721603929308,0.00984351453399413,1,0.561954691661199,"DMSO",NA
"117","DMSO",-999,"2-9",241969,122267,35390,"23_1_2",4382,3146,1344,0.0181097578615442,0.0257305732536171,0.037976829612885,0.0272723869093488,0.0100228751865411,0.0272723869093488,0.0100228751865411,1,0.519737640489409,"DMSO",NA
"118","DMSO",-999,"2-1",142476,101748,90028,"13_1",19979,8784,8833,0.140227125972094,0.0863309352517986,0.0981139201137424,0.108223993779212,0.0283347849061981,0.108223993779212,0.0283347849061981,1,0.370263891600783,"DMSO",NA
"119","DMSO",-999,"2-10",202659,124499,119889,"13_1",16386,18817,18448,0.0808550323449736,0.151141776239167,0.153875668326535,0.128624158970225,0.0413918546986099,0.128624158970225,0.0413918546986099,1,0.455100525089546,"DMSO",NA
"120","DMSO",-999,"2-11",156373,101679,93324,"13_1",23628,16900,9507,0.151100253880146,0.166209345095841,0.101870901375852,0.139726833450613,0.033643347845863,0.139726833450613,0.033643347845863,1,0.340513540830166,"DMSO",NA
"121","DMSO",-999,"2-12",158871,155880,68225,"13_1",15955,30653,8789,0.100427390776164,0.196644855016679,0.128823744961524,0.141965330251456,0.0494365861904735,0.141965330251456,0.0494365861904735,1,0.492471581224508,"DMSO",NA
"122","DMSO",-999,"2-13",85453,113405,52133,"13_1",9942,16500,8756,0.116344657296994,0.145496230324942,0.167955038075691,0.143265308565875,0.0258774150554463,0.143265308565875,0.0258774150554463,1,0.255443496383791,"DMSO",NA
"123","DMSO",-999,"2-2",100215,92258,87458,"13_1",10775,11841,8080,0.107518834505812,0.128346593249366,0.0923872030002973,0.109417543585159,0.0180547295437289,0.109417543585159,0.0180547295437289,1,0.23335602819348,"DMSO",NA
"124","DMSO",-999,"2-3",129226,72921,35994,"13_1",19293,10306,3494,0.149296581183353,0.141331029470249,0.0970717341779185,0.12923311494384,0.0281358901245629,0.12923311494384,0.0281358901245629,1,0.307894438827753,"DMSO",NA
"125","DMSO",-999,"2-4",143029,56247,162,"13_1",11085,3334,18,0.0775017653762524,0.0592742724056394,0.111111111111111,0.082629049631001,0.0262960309669733,0.082629049631001,0.0262960309669733,1,0.450062100389015,"DMSO",NA
"126","DMSO",-999,"2-5",150886,123561,85528,"13_1",17076,13140,9002,0.113171533475604,0.106344234831379,0.105252081189786,0.108255949832256,0.00429190188730742,0.108255949832256,0.00429190188730742,1,0.0560677345384697,"DMSO",NA
"127","DMSO",-999,"2-6",83055,54989,22321,"13_1",5321,4595,1559,0.0640659803744507,0.0835621669788503,0.0698445410151875,0.0724908961228295,0.0100138763496061,0.0724908961228295,0.0100138763496061,1,0.195359148568729,"DMSO",NA
"128","DMSO",-999,"2-7",89241,70822,42522,"13_1",8523,5137,4933,0.0955054291189028,0.0725339583745164,0.116010535722685,0.0946833077387013,0.0217499449918995,0.0946833077387013,0.0217499449918995,1,0.324862617530212,"DMSO",NA
"129","DMSO",-999,"2-8",226016,162135,128218,"13_1",47005,20338,15342,0.207972001982161,0.125438677645172,0.119655586579107,0.15102208873548,0.0494047619129262,0.15102208873548,0.0494047619129262,1,0.462640166932478,"DMSO",NA
"130","DMSO",-999,"2-9",241969,122267,35390,"13_1",39259,20911,3367,0.16224805656923,0.17102734180114,0.0951398700197796,0.142805089463383,0.0415120322406766,0.142805089463383,0.0415120322406766,1,0.411097946277938,"DMSO",NA
"131","DMSO",-999,"2-1",142476,101748,90028,"18_1",1611,535,1420,0.0113071675229512,0.00525808861107835,0.0157728706624606,0.0107793755988301,0.00527722309869434,0.0107793755988301,0.00527722309869434,1,0.692351835170501,"DMSO",NA
"132","DMSO",-999,"2-10",202659,124499,119889,"18_1",1622,546,1155,0.00800359224115386,0.00438557739419594,0.00963391136801541,0.00734102700112174,0.00268616769732663,0.00734102700112174,0.00268616769732663,1,0.517477294088055,"DMSO",NA
"133","DMSO",-999,"2-11",156373,101679,93324,"18_1",1793,564,1181,0.0114661738279626,0.00554686808485528,0.0126548369122627,0.00988929294169352,0.00380732454749518,0.00988929294169352,0.00380732454749518,1,0.544464608660043,"DMSO",NA
