"","Treatment","Concentration_uM","plate","Rep1_tot","Rep2_tot","OR","Rep1","Rep2","rep1_freq","rep2_freq","freq_ave","DMSO_ave","DMSO_sd","DMSO_Normed","Odorant","CAS"
"33","Control_1",1000,"2-3",11967,1488,"30_1",16,14,0.00133701011113897,0.00940860215053763,0.0053728061308383,0.0167900126896238,0.0113849356570417,0.320000123297029,"Control_1",NA
"34","Control_1",1000,"2-4",54784,128167,"30_1",1523,1785,0.0278000876168224,0.0139271419320106,0.0208636147744165,0.00590185013384771,0.00521044557006754,3.53509735104278,"Control_1",NA
"35","Control_1",1000,"2-5",85320,19698,"30_1",1729,193,0.0202648851383029,0.00979794903035841,0.0150314170843306,0.0182327587147551,0.00643828604574855,0.824418143161531,"Control_1",NA
"36","Control_1",1000,"2-6",10867,45640,"30_1",279,691,0.0256740590779424,0.0151402278702892,0.0204071434741158,0.0188662786438178,0.00751085112535951,1.08167296049149,"Control_1",NA
"37","Control_1",1000,"2-7",96967,47332,"30_1",2259,378,0.0232965854362824,0.0079861404546607,0.0156413629454716,0.0148273435928082,0.00263171824556297,1.054899877889,"Control_1",NA
"38","Control_1",1000,"2-8",71915,167059,"30_1",1413,2398,0.0196481957866926,0.0143542101892146,0.0170012029879536,0.0114934878305952,0.00285797149579679,1.47920311384479,"Control_1",NA
"39","Control_1",1000,"2-9",62964,45040,"30_1",591,631,0.00938631599008958,0.0140097690941385,0.0116980425421141,0.0133087696501264,0.00455237826634361,0.878972500812871,"Control_1",NA
"40","Control_2",10,"2-1",159822,98766,"30_1",15342,8415,0.0959942936516875,0.0852013850920357,0.0905978393718616,0.0202433172008184,0.00941477920156107,4.47544433914214,"Control_2",NA
"41","Control_2",10,"2-10",90282,129151,"30_1",6246,7667,0.0691832258922044,0.0593646197087131,0.0642739228004587,0.0128091359007378,0.00425421765921338,5.01781878953727,"Control_2",NA
"42","Control_2",10,"2-11",118748,192872,"30_1",9412,15037,0.0792602822784384,0.0779636235430752,0.0786119529107568,0.0126149415223709,0.00394131258245977,6.23165416750836,"Control_2",NA
"43","Control_2",10,"2-12",101366,149606,"30_1",14063,10281,0.138734881518458,0.0687205058620644,0.103727693690261,0.0130322339845999,0.00466351813751425,7.95931793527001,"Control_2",NA
"44","Control_2",10,"2-13",227791,182348,"30_1",11269,16308,0.0494707868177408,0.0894333910983394,0.0694520889580401,0.0177817742814502,0.00691298145472792,3.90580196659521,"Control_2",NA
"45","Control_2",10,"2-2",103700,130918,"30_1",1795,9221,0.0173095467695275,0.0704334010602056,0.0438714739148666,0.0146714627216553,0.00510824710237837,2.99025903191723,"Control_2",NA
