row,col,plate,Treatment,Concentration_uM,Replicate
B,1,2-9,81,10,Rep2
B,2,2-9,81,100,Rep2
B,3,2-9,81,1000,Rep2
B,4,2-9,82,10,Rep2
B,5,2-9,82,100,Rep2
B,6,2-9,82,1000,Rep2
B,7,2-9,84,10,Rep2
B,8,2-9,84,100,Rep2
B,9,2-9,84,1000,Rep2
B,10,2-9,85,10,Rep2
B,11,2-9,85,100,Rep2
B,12,2-9,85,1000,Rep2
C,1,2-9,81,10,Rep3
C,2,2-9,81,100,Rep3
C,3,2-9,81,1000,Rep3
C,4,2-9,82,10,Rep3
C,5,2-9,82,100,Rep3
C,6,2-9,82,1000,Rep3
C,7,2-9,84,10,Rep3
C,8,2-9,84,100,Rep3
C,9,2-9,84,1000,Rep3
C,10,2-9,85,10,Rep3
C,11,2-9,85,100,Rep3
C,12,2-9,85,1000,Rep3
D,1,2-9,86,10,Rep1
D,2,2-9,86,100,Rep1
D,3,2-9,86,1000,Rep1
D,4,2-9,87,10,Rep1
D,5,2-9,87,100,Rep1
D,6,2-9,87,1000,Rep1
D,7,2-9,88,10,Rep1
D,8,2-9,88,100,Rep1
D,9,2-9,88,1000,Rep1
D,10,2-9,Control_1,10,Rep1
D,11,2-9,Control_1,100,Rep1
D,12,2-9,Control_1,1000,Rep1
E,1,2-9,86,10,Rep2
E,2,2-9,86,100,Rep2
E,3,2-9,86,1000,Rep2
E,4,2-9,87,10,Rep2
E,5,2-9,87,100,Rep2
E,6,2-9,87,1000,Rep2
E,7,2-9,88,10,Rep2
E,8,2-9,88,100,Rep2
E,9,2-9,88,1000,Rep2
E,10,2-9,Control_1,10,Rep2
E,11,2-9,Control_1,100,Rep2
E,12,2-9,Control_1,1000,Rep2
F,1,2-9,86,10,Rep3
F,2,2-9,86,100,Rep3
F,3,2-9,86,1000,Rep3
F,4,2-9,87,10,Rep3
F,5,2-9,87,100,Rep3
F,6,2-9,87,1000,Rep3
F,7,2-9,88,10,Rep3
F,8,2-9,88,100,Rep3
F,9,2-9,88,1000,Rep3
F,10,2-9,Control_2,10,Rep1
F,11,2-9,Control_2,100,Rep1
F,12,2-9,Control_2,1000,Rep1
G,1,2-9,90,10,Rep1
G,2,2-9,90,100,Rep1
G,3,2-9,90,1000,Rep1
G,4,2-9,90,10,Rep2
G,5,2-9,90,100,Rep2
G,6,2-9,90,1000,Rep2
G,7,2-9,91,10,Rep1
G,8,2-9,91,100,Rep1
G,9,2-9,91,1000,Rep1
G,10,2-9,Control_2,10,Rep2
G,11,2-9,Control_2,100,Rep2
G,12,2-9,Control_2,1000,Rep2
H,1,2-9,90,10,Rep3
H,2,2-9,90,100,Rep3
H,3,2-9,90,1000,Rep3
H,4,2-9,91,10,Rep2
H,5,2-9,91,100,Rep2
H,6,2-9,91,1000,Rep2
H,7,2-9,91,10,Rep3
H,8,2-9,91,100,Rep3
H,9,2-9,91,1000,Rep3
H,10,2-9,DMSO,-999,Rep1
H,11,2-9,DMSO,-999,Rep2
H,12,2-9,DMSO,-999,Rep3
A,1,2-9,92,10,Rep1
A,2,2-10,92,100,Rep1
A,3,2-10,92,1000,Rep1
A,4,2-10,93,10,Rep1
A,5,2-10,93,100,Rep1
A,6,2-10,93,1000,Rep1
A,7,2-10,94,10,Rep1
A,8,2-10,94,100,Rep1
A,9,2-10,94,1000,Rep1
A,10,2-10,95,10,Rep1
A,11,2-10,95,100,Rep1
A,12,2-10,95,1000,Rep1
B,1,2-10,92,10,Rep2
B,2,2-10,92,100,Rep2
B,3,2-10,92,1000,Rep2
B,4,2-10,93,10,Rep2
B,5,2-10,93,100,Rep2
B,6,2-10,93,1000,Rep2
B,7,2-10,94,10,Rep2
B,8,2-10,94,100,Rep2
B,9,2-10,94,1000,Rep2
B,10,2-10,95,10,Rep2
B,11,2-10,95,100,Rep2
B,12,2-10,95,1000,Rep2
C,1,2-10,92,10,Rep3
C,2,2-10,92,100,Rep3
C,3,2-10,92,1000,Rep3
C,4,2-10,93,10,Rep3
C,5,2-10,93,100,Rep3
C,6,2-10,93,1000,Rep3
C,7,2-10,94,10,Rep3
C,8,2-10,94,100,Rep3
C,9,2-10,94,1000,Rep3
C,10,2-10,95,10,Rep3
C,11,2-10,95,100,Rep3
C,12,2-10,95,1000,Rep3
D,1,2-10,96,10,Rep1
D,2,2-10,96,100,Rep1
D,3,2-10,96,1000,Rep1
D,4,2-10,97,10,Rep1
D,5,2-10,97,100,Rep1
D,6,2-10,97,1000,Rep1
D,7,2-10,98,10,Rep1
D,8,2-10,98,100,Rep1
D,9,2-10,98,1000,Rep1
D,10,2-10,Control_1,10,Rep1
D,11,2-10,Control_1,100,Rep1
D,12,2-10,Control_1,1000,Rep1
E,1,2-10,96,10,Rep2
E,2,2-10,96,100,Rep2
E,3,2-10,96,1000,Rep2
E,4,2-10,97,10,Rep2
E,5,2-10,97,100,Rep2
E,6,2-10,97,1000,Rep2
E,7,2-10,98,10,Rep2
E,8,2-10,98,100,Rep2
E,9,2-10,98,1000,Rep2
E,10,2-10,Control_1,10,Rep2
E,11,2-10,Control_1,100,Rep2
E,12,2-10,Control_1,1000,Rep2
F,1,2-10,96,10,Rep3
F,2,2-10,96,100,Rep3
F,3,2-10,96,1000,Rep3
F,4,2-10,97,10,Rep3
F,5,2-10,97,100,Rep3
F,6,2-10,97,1000,Rep3
F,7,2-10,98,10,Rep3
F,8,2-10,98,100,Rep3
F,9,2-10,98,1000,Rep3
F,10,2-10,Control_2,10,Rep1
F,11,2-10,Control_2,100,Rep1
F,12,2-10,Control_2,1000,Rep1
G,1,2-10,100,10,Rep1
G,2,2-10,100,100,Rep1
G,3,2-10,100,1000,Rep1
G,4,2-10,100,10,Rep2
G,5,2-10,100,100,Rep2
G,6,2-10,100,1000,Rep2
G,7,2-10,99,10,Rep1
G,8,2-10,99,100,Rep1
G,9,2-10,99,1000,Rep1
G,10,2-10,Control_2,10,Rep2
G,11,2-10,Control_2,100,Rep2
G,12,2-10,Control_2,1000,Rep2
H,1,2-10,100,10,Rep3
H,2,2-10,100,100,Rep3
H,3,2-10,100,1000,Rep3
H,4,2-10,99,10,Rep2
H,5,2-10,99,100,Rep2
H,6,2-10,99,1000,Rep2
H,7,2-10,99,10,Rep3
H,8,2-10,99,100,Rep3
H,9,2-10,99,1000,Rep3
H,10,2-10,DMSO,-999,Rep1
H,11,2-10,DMSO,-999,Rep2
H,12,2-10,DMSO,-999,Rep3
A,1,2-11,101,10,Rep1
A,2,2-11,101,100,Rep1
A,3,2-11,101,1000,Rep1
A,4,2-11,102,10,Rep1
A,5,2-11,102,100,Rep1
A,6,2-11,102,1000,Rep1
A,7,2-11,103,10,Rep1
A,8,2-11,103,100,Rep1
A,9,2-11,103,1000,Rep1
A,10,2-11,104,10,Rep1
A,11,2-11,104,100,Rep1
A,12,2-11,104,1000,Rep1
B,1,2-11,101,10,Rep2
B,2,2-11,101,100,Rep2
B,3,2-11,101,1000,Rep2
B,4,2-11,102,10,Rep2
B,5,2-11,102,100,Rep2
B,6,2-11,102,1000,Rep2
B,7,2-11,103,10,Rep2
B,8,2-11,103,100,Rep2
B,9,2-11,103,1000,Rep2
B,10,2-11,104,10,Rep2
B,11,2-11,104,100,Rep2
B,12,2-11,104,1000,Rep2
C,1,2-11,101,10,Rep3
C,2,2-11,101,100,Rep3
C,3,2-11,101,1000,Rep3
C,4,2-11,102,10,Rep3
C,5,2-11,102,100,Rep3
C,6,2-11,102,1000,Rep3
C,7,2-11,103,10,Rep3
C,8,2-11,103,100,Rep3
C,9,2-11,103,1000,Rep3
C,10,2-11,104,10,Rep3
C,11,2-11,104,100,Rep3
C,12,2-11,104,1000,Rep3
D,1,2-11,105,10,Rep1
D,2,2-11,105,100,Rep1
D,3,2-11,105,1000,Rep1
D,4,2-11,106,10,Rep1
D,5,2-11,106,100,Rep1
D,6,2-11,106,1000,Rep1
D,7,2-11,Nothing,-999,Rep1
D,8,2-11,Nothing,-999,Rep2
D,9,2-11,Nothing,-999,Rep3
D,10,2-11,Control_1,10,Rep1
D,11,2-11,Control_1,100,Rep1
D,12,2-11,Control_1,1000,Rep1
E,1,2-11,105,10,Rep2
E,2,2-11,105,100,Rep2
E,3,2-11,105,1000,Rep2
E,4,2-11,106,10,Rep2
E,5,2-11,106,100,Rep2
E,6,2-11,106,1000,Rep2
E,7,2-11,Nothing,-999,Rep4
E,8,2-11,Nothing,-999,Rep5
E,9,2-11,Nothing,-999,Rep6
E,10,2-11,Control_1,10,Rep2
E,11,2-11,Control_1,100,Rep2
E,12,2-11,Control_1,1000,Rep2
F,1,2-11,105,10,Rep3
F,2,2-11,105,100,Rep3
F,3,2-11,105,1000,Rep3
F,4,2-11,106,10,Rep3
F,5,2-11,106,100,Rep3
F,6,2-11,106,1000,Rep3
F,7,2-11,Nothing,-999,Rep7
F,8,2-11,Nothing,-999,Rep8
F,9,2-11,Nothing,-999,Rep9
F,10,2-11,Control_2,10,Rep1
F,11,2-11,Control_2,100,Rep1
F,12,2-11,Control_2,1000,Rep1
G,1,2-11,107,10,Rep1
G,2,2-11,107,100,Rep1
G,3,2-11,107,1000,Rep1
G,4,2-11,107,10,Rep2
G,5,2-11,107,100,Rep2
G,6,2-11,107,1000,Rep2
G,7,2-11,108,10,Rep1
G,8,2-11,108,100,Rep1
G,9,2-11,108,1000,Rep1
G,10,2-11,Control_2,10,Rep2
G,11,2-11,Control_2,100,Rep2
G,12,2-11,Control_2,1000,Rep2
H,1,2-11,107,10,Rep3
H,2,2-11,107,100,Rep3
H,3,2-11,107,1000,Rep3
H,4,2-11,108,10,Rep2
H,5,2-11,108,100,Rep2
H,6,2-11,108,1000,Rep2
H,7,2-11,108,10,Rep3
H,8,2-11,108,100,Rep3
H,9,2-11,108,1000,Rep3
H,10,2-11,DMSO,-999,Rep1
H,11,2-11,DMSO,-999,Rep2
H,12,2-11,DMSO,-999,Rep3
A,1,2-12,109,10,Rep1
A,2,2-12,109,100,Rep1
A,3,2-12,109,1000,Rep1
A,4,2-12,110,10,Rep1
A,5,2-12,110,100,Rep1
A,6,2-12,110,1000,Rep1
A,7,2-12,111,10,Rep1
A,8,2-12,111,100,Rep1
A,9,2-12,111,1000,Rep1
A,10,2-12,112,10,Rep1
A,11,2-12,112,100,Rep1
A,12,2-12,112,1000,Rep1
B,1,2-12,109,10,Rep2
B,2,2-12,109,100,Rep2
B,3,2-12,109,1000,Rep2
B,4,2-12,110,10,Rep2
B,5,2-12,110,100,Rep2
B,6,2-12,110,1000,Rep2
B,7,2-12,111,10,Rep2
B,8,2-12,111,100,Rep2
B,9,2-12,111,1000,Rep2
B,10,2-12,112,10,Rep2
B,11,2-12,112,100,Rep2
B,12,2-12,112,1000,Rep2
C,1,2-12,109,10,Rep3
C,2,2-12,109,100,Rep3
C,3,2-12,109,1000,Rep3
C,4,2-12,110,10,Rep3
C,5,2-12,110,100,Rep3
C,6,2-12,110,1000,Rep3
C,7,2-12,111,10,Rep3
C,8,2-12,111,100,Rep3
C,9,2-12,111,1000,Rep3
C,10,2-12,112,10,Rep3
C,11,2-12,112,100,Rep3
C,12,2-12,112,1000,Rep3
D,1,2-12,113,10,Rep1
D,2,2-12,113,100,Rep1
D,3,2-12,113,1000,Rep1
D,4,2-12,114,10,Rep1
D,5,2-12,114,100,Rep1
D,6,2-12,114,1000,Rep1
D,7,2-12,Nothing,-999,Rep1
D,8,2-12,Nothing,-999,Rep2
D,9,2-12,Nothing,-999,Rep3
D,10,2-12,Control_1,10,Rep1
D,11,2-12,Control_1,100,Rep1
D,12,2-12,Control_1,1000,Rep1
E,1,2-12,113,10,Rep2
E,2,2-12,113,100,Rep2
E,3,2-12,113,1000,Rep2
E,4,2-12,114,10,Rep2
E,5,2-12,114,100,Rep2
E,6,2-12,114,1000,Rep2
E,7,2-12,Nothing,-999,Rep4
E,8,2-12,Nothing,-999,Rep5
E,9,2-12,Nothing,-999,Rep6
E,10,2-12,Control_1,10,Rep2
E,11,2-12,Control_1,100,Rep2
E,12,2-12,Control_1,1000,Rep2
F,1,2-12,113,10,Rep3
F,2,2-12,113,100,Rep3
F,3,2-12,113,1000,Rep3
F,4,2-12,114,10,Rep3
F,5,2-12,114,100,Rep3
F,6,2-12,114,1000,Rep3
F,7,2-12,Nothing,-999,Rep7
F,8,2-12,Nothing,-999,Rep8
F,9,2-12,Nothing,-999,Rep9
F,10,2-12,Control_2,10,Rep1
F,11,2-12,Control_2,100,Rep1
F,12,2-12,Control_2,1000,Rep1
G,1,2-12,Nothing,-999,Rep10
G,2,2-12,Nothing,-999,Rep11
G,3,2-12,Nothing,-999,Rep12
G,4,2-12,Nothing,-999,Rep13
G,5,2-12,Nothing,-999,Rep14
G,6,2-12,Nothing,-999,Rep15
G,7,2-12,Nothing,-999,Rep16
G,8,2-12,Nothing,-999,Rep17
G,9,2-12,Nothing,-999,Rep18
G,10,2-12,Control_2,10,Rep2
G,11,2-12,Control_2,100,Rep2
G,12,2-12,Control_2,1000,Rep2
H,1,2-12,Nothing,-999,Rep19
H,2,2-12,Nothing,-999,Rep20
H,3,2-12,Nothing,-999,Rep21
H,4,2-12,Nothing,-999,Rep22
H,5,2-12,Nothing,-999,Rep23
H,6,2-12,Nothing,-999,Rep24
H,7,2-12,Nothing,-999,Rep25
H,8,2-12,Nothing,-999,Rep26
H,9,2-12,Nothing,-999,Rep27
H,10,2-12,DMSO,-999,Rep1
H,11,2-12,DMSO,-999,Rep2
H,12,2-12,DMSO,-999,Rep3
A,1,2-13,8,10,Rep1
A,2,2-13,8,100,Rep1
A,3,2-13,8,1000,Rep1
A,4,2-13,18,10,Rep1
A,5,2-13,18,100,Rep1
A,6,2-13,18,1000,Rep1
A,7,2-13,28,10,Rep1
A,8,2-13,28,100,Rep1
A,9,2-13,28,1000,Rep1
A,10,2-13,38,10,Rep1
A,11,2-13,38,100,Rep1
A,12,2-13,38,1000,Rep1
B,1,2-13,8,10,Rep2
B,2,2-13,8,100,Rep2
B,3,2-13,8,1000,Rep2
B,4,2-13,18,10,Rep2
B,5,2-13,18,100,Rep2
B,6,2-13,18,1000,Rep2
B,7,2-13,28,10,Rep2
B,8,2-13,28,100,Rep2
B,9,2-13,28,1000,Rep2
B,10,2-13,38,10,Rep2
B,11,2-13,38,100,Rep2
B,12,2-13,38,1000,Rep2
C,1,2-13,8,10,Rep3
C,2,2-13,8,100,Rep3
C,3,2-13,8,1000,Rep3
C,4,2-13,18,10,Rep3
C,5,2-13,18,100,Rep3
C,6,2-13,18,1000,Rep3
C,7,2-13,28,10,Rep3
C,8,2-13,28,100,Rep3
C,9,2-13,28,1000,Rep3
C,10,2-13,38,10,Rep3
C,11,2-13,38,100,Rep3
C,12,2-13,38,1000,Rep3
D,1,2-13,48,10,Rep1
D,2,2-13,48,100,Rep1
D,3,2-13,48,1000,Rep1
D,4,2-13,58,10,Rep1
D,5,2-13,58,100,Rep1
D,6,2-13,58,1000,Rep1
D,7,2-13,68,10,Rep1
D,8,2-13,68,100,Rep1
D,9,2-13,68,1000,Rep1
D,10,2-13,Control_1,10,Rep1
D,11,2-13,Control_1,100,Rep1
D,12,2-13,Control_1,1000,Rep1
E,1,2-13,48,10,Rep2
E,2,2-13,48,100,Rep2
E,3,2-13,48,1000,Rep2
E,4,2-13,58,10,Rep2
E,5,2-13,58,100,Rep2
E,6,2-13,58,1000,Rep2
E,7,2-13,68,10,Rep2
E,8,2-13,68,100,Rep2
E,9,2-13,68,1000,Rep2
E,10,2-13,Control_1,10,Rep2
E,11,2-13,Control_1,100,Rep2
E,12,2-13,Control_1,1000,Rep2
F,1,2-13,48,10,Rep3
F,2,2-13,48,100,Rep3
F,3,2-13,48,1000,Rep3
F,4,2-13,58,10,Rep3
F,5,2-13,58,100,Rep3
F,6,2-13,58,1000,Rep3
F,7,2-13,68,10,Rep3
F,8,2-13,68,100,Rep3
F,9,2-13,68,1000,Rep3
F,10,2-13,Control_2,10,Rep1
F,11,2-13,Control_2,100,Rep1
F,12,2-13,Control_2,1000,Rep1
G,1,2-13,78,10,Rep1
G,2,2-13,78,100,Rep1
G,3,2-13,78,1000,Rep1
G,4,2-13,78,10,Rep2
G,5,2-13,78,100,Rep2
G,6,2-13,78,1000,Rep2
G,7,2-13,89,10,Rep1
G,8,2-13,89,100,Rep1
G,9,2-13,89,1000,Rep1
G,10,2-13,Control_2,10,Rep2
G,11,2-13,Control_2,100,Rep2
G,12,2-13,Control_2,1000,Rep2
H,1,2-13,78,10,Rep3
H,2,2-13,78,100,Rep3
H,3,2-13,78,1000,Rep3
H,4,2-13,89,10,Rep2
H,5,2-13,89,100,Rep2
H,6,2-13,89,1000,Rep2
H,7,2-13,89,10,Rep3
H,8,2-13,89,100,Rep3
H,9,2-13,89,1000,Rep3
H,10,2-13,DMSO,-999,Rep1
H,11,2-13,DMSO,-999,Rep2
H,12,2-13,DMSO,-999,Rep3
