row,col,plate,Treatment,Concentration_uM,Replicate
G,3,2-5,49,1000,Rep1
G,4,2-5,49,10,Rep2
G,5,2-5,49,100,Rep2
G,6,2-5,49,1000,Rep2
G,7,2-5,50,10,Rep1
G,8,2-5,50,100,Rep1
G,9,2-5,50,1000,Rep1
G,10,2-5,Control_2,10,Rep2
G,11,2-5,Control_2,100,Rep2
G,12,2-5,Control_2,1000,Rep2
H,1,2-5,49,10,Rep3
H,2,2-5,49,100,Rep3
H,3,2-5,49,1000,Rep3
H,4,2-5,50,10,Rep2
H,5,2-5,50,100,Rep2
H,6,2-5,50,1000,Rep2
H,7,2-5,50,10,Rep3
H,8,2-5,50,100,Rep3
H,9,2-5,50,1000,Rep3
H,10,2-5,DMSO,-999,Rep1
H,11,2-5,DMSO,-999,Rep2
H,12,2-5,DMSO,-999,Rep3
A,1,2-6,51,10,Rep1
A,2,2-6,51,100,Rep1
A,3,2-6,51,1000,Rep1
A,4,2-6,52,10,Rep1
A,5,2-6,52,100,Rep1
A,6,2-6,52,1000,Rep1
A,7,2-6,53,10,Rep1
A,8,2-6,53,100,Rep1
A,9,2-6,53,1000,Rep1
A,10,2-6,54,10,Rep1
A,11,2-6,54,100,Rep1
A,12,2-6,54,1000,Rep1
B,1,2-6,51,10,Rep2
B,2,2-6,51,100,Rep2
B,3,2-6,51,1000,Rep2
B,4,2-6,52,10,Rep2
B,5,2-6,52,100,Rep2
B,6,2-6,52,1000,Rep2
B,7,2-6,53,10,Rep2
B,8,2-6,53,100,Rep2
B,9,2-6,53,1000,Rep2
B,10,2-6,54,10,Rep2
B,11,2-6,54,100,Rep2
B,12,2-6,54,1000,Rep2
C,1,2-6,51,10,Rep3
C,2,2-6,51,100,Rep3
C,3,2-6,51,1000,Rep3
C,4,2-6,52,10,Rep3
C,5,2-6,52,100,Rep3
C,6,2-6,52,1000,Rep3
C,7,2-6,53,10,Rep3
C,8,2-6,53,100,Rep3
C,9,2-6,53,1000,Rep3
C,10,2-6,54,10,Rep3
C,11,2-6,54,100,Rep3
C,12,2-6,54,1000,Rep3
D,1,2-6,55,10,Rep1
D,2,2-6,55,100,Rep1
D,3,2-6,55,1000,Rep1
D,4,2-6,56,10,Rep1
D,5,2-6,56,100,Rep1
D,6,2-6,56,1000,Rep1
D,7,2-6,57,10,Rep1
D,8,2-6,57,100,Rep1
D,9,2-6,57,1000,Rep1
D,10,2-6,Control_1,10,Rep1
D,11,2-6,Control_1,100,Rep1
D,12,2-6,Control_1,1000,Rep1
E,1,2-6,55,10,Rep2
E,2,2-6,55,100,Rep2
E,3,2-6,55,1000,Rep2
E,4,2-6,56,10,Rep2
E,5,2-6,56,100,Rep2
E,6,2-6,56,1000,Rep2
E,7,2-6,57,10,Rep2
E,8,2-6,57,100,Rep2
E,9,2-6,57,1000,Rep2
E,10,2-6,Control_1,10,Rep2
E,11,2-6,Control_1,100,Rep2
E,12,2-6,Control_1,1000,Rep2
F,1,2-6,55,10,Rep3
F,2,2-6,55,100,Rep3
F,3,2-6,55,1000,Rep3
F,4,2-6,56,10,Rep3
F,5,2-6,56,100,Rep3
F,6,2-6,56,1000,Rep3
F,7,2-6,57,10,Rep3
F,8,2-6,57,100,Rep3
F,9,2-6,57,1000,Rep3
F,10,2-6,Control_2,10,Rep1
F,11,2-6,Control_2,100,Rep1
F,12,2-6,Control_2,1000,Rep1
G,1,2-6,59,10,Rep1
G,2,2-6,59,100,Rep1
G,3,2-6,59,1000,Rep1
G,4,2-6,59,10,Rep2
