Odorant,Concentration_uM,plate,Counts,OR,Replicate
Control_1,100,2-4,974,142_1,Rep1
Control_1,100,2-5,1457,142_1,Rep1
Control_1,100,2-6,765,142_1,Rep1
Control_1,100,2-7,1200,142_1,Rep1
Control_1,100,2-8,1328,142_1,Rep1
Control_1,100,2-9,3333,142_1,Rep1
Control_1,1000,2-1,3319,142_1,Rep1
Control_1,1000,2-10,1234,142_1,Rep1
Control_1,1000,2-11,587,142_1,Rep1
Control_1,1000,2-12,725,142_1,Rep1
Control_1,1000,2-13,2765,142_1,Rep1
Control_1,1000,2-2,0,142_1,Rep1
Control_1,1000,2-3,207,142_1,Rep1
Control_1,1000,2-4,1289,142_1,Rep1
Control_1,1000,2-5,911,142_1,Rep1
Control_1,1000,2-6,235,142_1,Rep1
Control_1,1000,2-7,1002,142_1,Rep1
Control_1,1000,2-8,1260,142_1,Rep1
Control_1,1000,2-9,725,142_1,Rep1
Control_2,10,2-1,2945,142_1,Rep1
Control_2,10,2-10,933,142_1,Rep1
Control_2,10,2-11,1530,142_1,Rep1
Control_2,10,2-12,1678,142_1,Rep1
Control_2,10,2-13,2430,142_1,Rep1
Control_2,10,2-2,1997,142_1,Rep1
Control_2,10,2-3,1059,142_1,Rep1
Control_2,10,2-4,2367,142_1,Rep1
Control_2,10,2-5,1247,142_1,Rep1
Control_2,10,2-6,1331,142_1,Rep1
Control_2,10,2-7,1130,142_1,Rep1
Control_2,10,2-8,906,142_1,Rep1
Control_2,10,2-9,2903,142_1,Rep1
Control_2,100,2-1,1452,142_1,Rep1
Control_2,100,2-10,659,142_1,Rep1
Control_2,100,2-11,1280,142_1,Rep1
Control_2,100,2-12,1204,142_1,Rep1
Control_2,100,2-13,1761,142_1,Rep1
Control_2,100,2-2,1678,142_1,Rep1
Control_2,100,2-3,1076,142_1,Rep1
Control_2,100,2-4,2794,142_1,Rep1
Control_2,100,2-5,885,142_1,Rep1
Control_2,100,2-6,877,142_1,Rep1
Control_2,100,2-7,698,142_1,Rep1
Control_2,100,2-8,2158,142_1,Rep1
Control_2,100,2-9,1547,142_1,Rep1
Control_2,1000,2-1,3028,142_1,Rep1
Control_2,1000,2-10,457,142_1,Rep1
Control_2,1000,2-11,1361,142_1,Rep1
Control_2,1000,2-12,3258,142_1,Rep1
Control_2,1000,2-13,2017,142_1,Rep1
Control_2,1000,2-2,835,142_1,Rep1
Control_2,1000,2-3,474,142_1,Rep1
Control_2,1000,2-4,1978,142_1,Rep1
Control_2,1000,2-5,1761,142_1,Rep1
Control_2,1000,2-6,710,142_1,Rep1
Control_2,1000,2-7,691,142_1,Rep1
Control_2,1000,2-8,1226,142_1,Rep1
Control_2,1000,2-9,2873,142_1,Rep1
DMSO,-999,2-1,3252,142_1,Rep1
DMSO,-999,2-10,2603,142_1,Rep1
DMSO,-999,2-11,4211,142_1,Rep1
DMSO,-999,2-12,2902,142_1,Rep1
DMSO,-999,2-13,1152,142_1,Rep1
DMSO,-999,2-2,1678,142_1,Rep1
DMSO,-999,2-3,2159,142_1,Rep1
DMSO,-999,2-4,4260,142_1,Rep1
DMSO,-999,2-5,3356,142_1,Rep1
DMSO,-999,2-6,1577,142_1,Rep1
DMSO,-999,2-7,1827,142_1,Rep1
DMSO,-999,2-8,3367,142_1,Rep1
DMSO,-999,2-9,3431,142_1,Rep1
Nothing,-999,2-11,2426,142_1,Rep1
Nothing,-999,2-12,2876,142_1,Rep1
a-Amylcinnamaldehyde,10,2-1,645,144_1,Rep1
a-Amylcinnamaldehyde,100,2-1,3592,144_1,Rep1
a-Amylcinnamaldehyde,1000,2-1,1945,144_1,Rep1
Eucalyptol,10,2-1,5117,144_1,Rep1
Eucalyptol,100,2-1,3155,144_1,Rep1
Eucalyptol,1000,2-1,3959,144_1,Rep1
Pentyl propionate (Amyl propionate),10,2-10,3636,144_1,Rep1
Pentyl propionate (Amyl propionate),100,2-10,2169,144_1,Rep1
Pentyl propionate (Amyl propionate),1000,2-10,9483,144_1,Rep1
Dihydro Myrcenol,10,2-11,966,144_1,Rep1
Dihydro Myrcenol,100,2-11,825,144_1,Rep1
Dihydro Myrcenol,1000,2-11,713,144_1,Rep1
Muscenone,10,2-11,1132,144_1,Rep1
Muscenone,100,2-11,174,144_1,Rep1
Muscenone,1000,2-11,1368,144_1,Rep1
ethyl maltol,10,2-11,1164,144_1,Rep1
ethyl maltol,100,2-11,935,144_1,Rep1
ethyl maltol,1000,2-11,903,144_1,Rep1
calone,10,2-11,1545,144_1,Rep1
calone,100,2-11,0,144_1,Rep1
calone,1000,2-11,19627,144_1,Rep1
Sandalwood Mysone,10,2-11,3708,144_1,Rep1
Sandalwood Mysone,100,2-11,3018,144_1,Rep1
Sandalwood Mysone,1000,2-11,6495,144_1,Rep1
Iso E Super,10,2-11,4177,144_1,Rep1
Iso E Super,100,2-11,3351,144_1,Rep1
Iso E Super,1000,2-11,2367,144_1,Rep1
Olibanum Coeur MD,10,2-11,3398,144_1,Rep1
Olibanum Coeur MD,100,2-11,226,144_1,Rep1
Olibanum Coeur MD,1000,2-11,27546,144_1,Rep1
Turkish Rose Oil,10,2-11,9698,144_1,Rep1
Turkish Rose Oil,100,2-11,4263,144_1,Rep1
Turkish Rose Oil,1000,2-11,5198,144_1,Rep1
Angel Eau de parfum (10 uM),10,2-12,1821,144_1,Rep1
Angel Eau de parfum (10 uM),100,2-12,2468,144_1,Rep1
Angel Eau de parfum (10 uM),1000,2-12,4075,144_1,Rep1
a-Hexylcinnamaldehyde,10,2-2,1937,144_1,Rep1
a-Hexylcinnamaldehyde,100,2-2,2308,144_1,Rep1
a-Hexylcinnamaldehyde,1000,2-2,2916,144_1,Rep1
Dior Jadone Eau de parfum (10 uM),10,2-12,3307,144_1,Rep1
Dior Jadone Eau de parfum (10 uM),100,2-12,1234,144_1,Rep1
Dior Jadone Eau de parfum (10 uM),1000,2-12,6161,144_1,Rep1
Flowerbomb Viktor and Rolf (10 uM),10,2-12,1258,144_1,Rep1
Flowerbomb Viktor and Rolf (10 uM),100,2-12,1114,144_1,Rep1
Flowerbomb Viktor and Rolf (10 uM),1000,2-12,2972,144_1,Rep1
Chanel No 5 (10 uM),10,2-12,937,144_1,Rep1
Chanel No 5 (10 uM),100,2-12,1457,144_1,Rep1
Chanel No 5 (10 uM),1000,2-12,0,144_1,Rep1
Axe (10 uM),10,2-12,2895,144_1,Rep1
Axe (10 uM),100,2-12,2988,144_1,Rep1
Axe (10 uM),1000,2-12,2850,144_1,Rep1
Aedione (10 uM),10,2-12,2657,144_1,Rep1
Aedione (10 uM),100,2-12,5623,144_1,Rep1
Aedione (10 uM),1000,2-12,7375,144_1,Rep1
Isobornyl acetate,10,2-2,1681,144_1,Rep1
Isobornyl acetate,100,2-2,4163,144_1,Rep1
Isobornyl acetate,1000,2-2,4311,144_1,Rep1
a-Amylcinnamaldehyde dimethyl acetal,10,2-2,2494,144_1,Rep1
a-Amylcinnamaldehyde dimethyl acetal,100,2-2,4186,144_1,Rep1
a-Amylcinnamaldehyde dimethyl acetal,1000,2-2,3562,144_1,Rep1
p-Tolyl isobutyrate,10,2-2,3254,144_1,Rep1
p-Tolyl isobutyrate,100,2-2,1885,144_1,Rep1
p-Tolyl isobutyrate,1000,2-2,4767,144_1,Rep1
o-Tolyl isobutyrate,10,2-2,1915,144_1,Rep1
o-Tolyl isobutyrate,100,2-2,4764,144_1,Rep1
o-Tolyl isobutyrate,1000,2-2,2316,144_1,Rep1
p-Tolyl phenylacetate,10,2-2,4287,144_1,Rep1
p-Tolyl phenylacetate,100,2-2,4766,144_1,Rep1
p-Tolyl phenylacetate,1000,2-2,7837,144_1,Rep1
2-Methoxy-3-Methyl-pyrazine,10,2-2,4815,144_1,Rep1
2-Methoxy-3-Methyl-pyrazine,100,2-2,3086,144_1,Rep1
2-Methoxy-3-Methyl-pyrazine,1000,2-2,3284,144_1,Rep1
2-Methoxypyrazine,10,2-13,1986,144_1,Rep1
2-Methoxypyrazine,100,2-13,2789,144_1,Rep1
2-Methoxypyrazine,1000,2-13,1633,144_1,Rep1
Methyl salicylate,10,2-2,2224,144_1,Rep1
Methyl salicylate,100,2-2,1942,144_1,Rep1
Methyl salicylate,1000,2-2,1166,144_1,Rep1
Anethole,10,2-1,2538,144_1,Rep1
Anethole,100,2-1,1588,144_1,Rep1
Anethole,1000,2-1,1471,144_1,Rep1
Myrcene,10,2-2,3268,144_1,Rep1
Myrcene,100,2-2,4483,144_1,Rep1
Myrcene,1000,2-2,5173,144_1,Rep1
w-Pentadecalactone,10,2-3,884,144_1,Rep1
w-Pentadecalactone,100,2-3,1695,144_1,Rep1
w-Pentadecalactone,1000,2-3,2297,144_1,Rep1
2-Phenylethanol,10,2-3,1753,144_1,Rep1
2-Phenylethanol,100,2-3,932,144_1,Rep1
2-Phenylethanol,1000,2-3,791,144_1,Rep1
2-Phenethyl acetate,10,2-3,689,144_1,Rep1
2-Phenethyl acetate,100,2-3,1718,144_1,Rep1
2-Phenethyl acetate,1000,2-3,1201,144_1,Rep1
Piperonal,10,2-3,1026,144_1,Rep1
Piperonal,100,2-3,763,144_1,Rep1
Piperonal,1000,2-3,1147,144_1,Rep1
Pyrazine,10,2-3,1942,144_1,Rep1
Pyrazine,100,2-3,2830,144_1,Rep1
Pyrazine,1000,2-3,3366,144_1,Rep1
Sassafras oil,10,2-3,5439,144_1,Rep1
Sassafras oil,100,2-3,3324,144_1,Rep1
Sassafras oil,1000,2-3,2736,144_1,Rep1
thymol,10,2-3,4201,144_1,Rep1
thymol,100,2-3,4011,144_1,Rep1
thymol,1000,2-3,3961,144_1,Rep1
Triethylamine,10,2-13,2209,144_1,Rep1
Triethylamine,100,2-13,2161,144_1,Rep1
Triethylamine,1000,2-13,2514,144_1,Rep1
 L-Turpentine,10,2-3,2634,144_1,Rep1
 L-Turpentine,100,2-3,2260,144_1,Rep1
 L-Turpentine,1000,2-3,2564,144_1,Rep1
Anisaldehyde,10,2-1,3717,144_1,Rep1
Anisaldehyde,100,2-1,3934,144_1,Rep1
Anisaldehyde,1000,2-1,3945,144_1,Rep1
Methyl eugenol,10,2-3,6322,144_1,Rep1
Methyl eugenol,100,2-3,4676,144_1,Rep1
Methyl eugenol,1000,2-3,5567,144_1,Rep1
Eugenol,10,2-4,2065,144_1,Rep1
Eugenol,100,2-4,82,144_1,Rep1
Eugenol,1000,2-4,1092,144_1,Rep1
Eugenol methyl ether,10,2-4,1675,144_1,Rep1
Eugenol methyl ether,100,2-4,1886,144_1,Rep1
Eugenol methyl ether,1000,2-4,2536,144_1,Rep1
4-Ethylphenol,10,2-4,3344,144_1,Rep1
4-Ethylphenol,100,2-4,1475,144_1,Rep1
4-Ethylphenol,1000,2-4,2012,144_1,Rep1
Ethyl vanillin,10,2-4,2785,144_1,Rep1
Ethyl vanillin,100,2-4,4142,144_1,Rep1
Ethyl vanillin,1000,2-4,3199,144_1,Rep1
Vanillin,10,2-4,4123,144_1,Rep1
Vanillin,100,2-4,4993,144_1,Rep1
Vanillin,1000,2-4,3542,144_1,Rep1
2-Ethylphenol,10,2-4,3082,144_1,Rep1
2-Ethylphenol,100,2-4,2967,144_1,Rep1
2-Ethylphenol,1000,2-4,4905,144_1,Rep1
Guaiacol,10,2-4,4427,144_1,Rep1
Guaiacol,100,2-4,4403,144_1,Rep1
Guaiacol,1000,2-4,2454,144_1,Rep1
2-bromophenol,10,2-13,2451,144_1,Rep1
2-bromophenol,100,2-13,4113,144_1,Rep1
2-bromophenol,1000,2-13,1813,144_1,Rep1
Benzaldehyde,10,2-4,1803,144_1,Rep1
Benzaldehyde,100,2-4,8755,144_1,Rep1
Benzaldehyde,1000,2-4,6026,144_1,Rep1
benzyl benzoate (Pentamethylbenzaldehyde),10,2-1,2155,144_1,Rep1
benzyl benzoate (Pentamethylbenzaldehyde),100,2-1,2892,144_1,Rep1
benzyl benzoate (Pentamethylbenzaldehyde),1000,2-1,1590,144_1,Rep1
Piperonyl alcohol,10,2-4,3349,144_1,Rep1
Piperonyl alcohol,100,2-4,5941,144_1,Rep1
Piperonyl alcohol,1000,2-4,6664,144_1,Rep1
Piperonyl acetate,10,2-5,360,144_1,Rep1
Piperonyl acetate,100,2-5,1042,144_1,Rep1
Piperonyl acetate,1000,2-5,2043,144_1,Rep1
Tetrahydrofuran,10,2-5,2207,144_1,Rep1
Tetrahydrofuran,100,2-5,1985,144_1,Rep1
Tetrahydrofuran,1000,2-5,2671,144_1,Rep1
 Tetrahydropyran,10,2-5,2278,144_1,Rep1
 Tetrahydropyran,100,2-5,4148,144_1,Rep1
 Tetrahydropyran,1000,2-5,2544,144_1,Rep1
Benzaldehyde dimethyl acetal,10,2-5,2312,144_1,Rep1
Benzaldehyde dimethyl acetal,100,2-5,1107,144_1,Rep1
Benzaldehyde dimethyl acetal,1000,2-5,1272,144_1,Rep1
 2-Methyl-1-propanethiol,10,2-5,2375,144_1,Rep1
 2-Methyl-1-propanethiol,100,2-5,2338,144_1,Rep1
 2-Methyl-1-propanethiol,1000,2-5,6065,144_1,Rep1
(+)-Dihydrocarveol,10,2-5,4242,144_1,Rep1
(+)-Dihydrocarveol,100,2-5,3066,144_1,Rep1
(+)-Dihydrocarveol,1000,2-5,4663,144_1,Rep1
(-)-Dihydrocarveol,10,2-5,3503,144_1,Rep1
(-)-Dihydrocarveol,100,2-5,3125,144_1,Rep1
(-)-Dihydrocarveol,1000,2-5,6274,144_1,Rep1
(+)-Perillaaldehyde,10,2-13,1762,144_1,Rep1
(+)-Perillaaldehyde,100,2-13,3533,144_1,Rep1
(+)-Perillaaldehyde,1000,2-13,2150,144_1,Rep1
(-)-Perillaaldehyde,10,2-5,2675,144_1,Rep1
(-)-Perillaaldehyde,100,2-5,6089,144_1,Rep1
(-)-Perillaaldehyde,1000,2-5,4831,144_1,Rep1
Benzyl salicylate,10,2-1,1969,144_1,Rep1
Benzyl salicylate,100,2-1,5002,144_1,Rep1
Benzyl salicylate,1000,2-1,3245,144_1,Rep1
"(+)-Limonene oxide,mixture of cis and trans",10,2-5,4738,144_1,Rep1
"(+)-Limonene oxide,mixture of cis and trans",100,2-5,3445,144_1,Rep1
"(+)-Limonene oxide,mixture of cis and trans",1000,2-5,4662,144_1,Rep1
"(-)-Limonene oxide,mixture of cis and trans",10,2-6,920,144_1,Rep1
"(-)-Limonene oxide,mixture of cis and trans",100,2-6,1264,144_1,Rep1
"(-)-Limonene oxide,mixture of cis and trans",1000,2-6,3244,144_1,Rep1
 (R)-(+)-Limonene,10,2-6,1914,144_1,Rep1
 (R)-(+)-Limonene,100,2-6,1734,144_1,Rep1
 (R)-(+)-Limonene,1000,2-6,1508,144_1,Rep1
(-)-Camphene,10,2-6,1762,144_1,Rep1
(-)-Camphene,100,2-6,1552,144_1,Rep1
(-)-Camphene,1000,2-6,1189,144_1,Rep1
(+)-Camphene,10,2-6,1588,144_1,Rep1
(+)-Camphene,100,2-6,906,144_1,Rep1
(+)-Camphene,1000,2-6,1450,144_1,Rep1
"2,3-Diethyl-5-methylpyrazine",10,2-6,4872,144_1,Rep1
"2,3-Diethyl-5-methylpyrazine",100,2-6,3863,144_1,Rep1
"2,3-Diethyl-5-methylpyrazine",1000,2-6,3095,144_1,Rep1
Ethyl disulfide,10,2-6,3784,144_1,Rep1
Ethyl disulfide,100,2-6,8382,144_1,Rep1
Ethyl disulfide,1000,2-6,6595,144_1,Rep1
Methyl disulfide,10,2-6,6319,144_1,Rep1
Methyl disulfide,100,2-6,4470,144_1,Rep1
Methyl disulfide,1000,2-6,2893,144_1,Rep1
Ethyl 2-methylbutyrate,10,2-13,2109,144_1,Rep1
Ethyl 2-methylbutyrate,100,2-13,3616,144_1,Rep1
Ethyl 2-methylbutyrate,1000,2-13,2216,144_1,Rep1
trans-2-Dodecenal,10,2-6,4825,144_1,Rep1
trans-2-Dodecenal,100,2-6,5438,144_1,Rep1
trans-2-Dodecenal,1000,2-6,20108,144_1,Rep1
Cedryl acetate,10,2-1,2535,144_1,Rep1
Cedryl acetate,100,2-1,6599,144_1,Rep1
Cedryl acetate,1000,2-1,193,144_1,Rep1
1-Octen-3-one,10,2-6,9722,144_1,Rep1
1-Octen-3-one,100,2-6,4821,144_1,Rep1
1-Octen-3-one,1000,2-6,7321,144_1,Rep1
2-Bromohexanoic acid,10,2-7,2848,144_1,Rep1
2-Bromohexanoic acid,100,2-7,2102,144_1,Rep1
2-Bromohexanoic acid,1000,2-7,2281,144_1,Rep1
6-Bromohexanoic acid,10,2-7,3692,144_1,Rep1
6-Bromohexanoic acid,100,2-7,2277,144_1,Rep1
6-Bromohexanoic acid,1000,2-7,3324,144_1,Rep1
2-Bromooctanoic acid,10,2-7,2307,144_1,Rep1
2-Bromooctanoic acid,100,2-7,2268,144_1,Rep1
2-Bromooctanoic acid,1000,2-7,1983,144_1,Rep1
Furfuryl methyl disulfide,10,2-7,2763,144_1,Rep1
Furfuryl methyl disulfide,100,2-7,2768,144_1,Rep1
Furfuryl methyl disulfide,1000,2-7,1506,144_1,Rep1
Ethyl isovalerate,10,2-7,681,144_1,Rep1
Ethyl isovalerate,100,2-7,1744,144_1,Rep1
Ethyl isovalerate,1000,2-7,1634,144_1,Rep1
Bis(2-methyl-3-furyl)disulphide),10,2-7,1401,144_1,Rep1
Bis(2-methyl-3-furyl)disulphide),100,2-7,2586,144_1,Rep1
Bis(2-methyl-3-furyl)disulphide),1000,2-7,3771,144_1,Rep1
Dimethyl trisulfide,10,2-7,1894,144_1,Rep1
Dimethyl trisulfide,100,2-7,2071,144_1,Rep1
Dimethyl trisulfide,1000,2-7,1995,144_1,Rep1
"trans-2,cis-6-Nonadienal",10,2-13,3803,144_1,Rep1
"trans-2,cis-6-Nonadienal",100,2-13,3233,144_1,Rep1
"trans-2,cis-6-Nonadienal",1000,2-13,8118,144_1,Rep1
trans-2-Nonenal,10,2-7,1475,144_1,Rep1
trans-2-Nonenal,100,2-7,1201,144_1,Rep1
trans-2-Nonenal,1000,2-7,16598,144_1,Rep1
Cinnamyl alcohol,10,2-1,6040,144_1,Rep1
Cinnamyl alcohol,100,2-1,5745,144_1,Rep1
Cinnamyl alcohol,1000,2-1,5136,144_1,Rep1
n-Decyl acetate,10,2-7,3361,144_1,Rep1
n-Decyl acetate,100,2-7,2749,144_1,Rep1
n-Decyl acetate,1000,2-7,3826,144_1,Rep1
Dimethyl anthranilate,10,2-8,984,144_1,Rep1
Dimethyl anthranilate,100,2-8,666,144_1,Rep1
Dimethyl anthranilate,1000,2-8,363,144_1,Rep1
trans-2-Undecenal,10,2-8,698,144_1,Rep1
trans-2-Undecenal,100,2-8,1144,144_1,Rep1
trans-2-Undecenal,1000,2-8,4870,144_1,Rep1
Neryl isobutyrate,10,2-8,1370,144_1,Rep1
Neryl isobutyrate,100,2-8,945,144_1,Rep1
Neryl isobutyrate,1000,2-8,2478,144_1,Rep1
cis-4-Decenal,10,2-8,1854,144_1,Rep1
cis-4-Decenal,100,2-8,697,144_1,Rep1
cis-4-Decenal,1000,2-8,774,144_1,Rep1
Octyl formate,10,2-8,783,144_1,Rep1
Octyl formate,100,2-8,1097,144_1,Rep1
Octyl formate,1000,2-8,2608,144_1,Rep1
(±)-2-Butanol,10,2-8,2394,144_1,Rep1
(±)-2-Butanol,100,2-8,3956,144_1,Rep1
(±)-2-Butanol,1000,2-8,2201,144_1,Rep1
2-Isopropyl-3-methoxypyrazine,10,2-8,2064,144_1,Rep1
2-Isopropyl-3-methoxypyrazine,100,2-8,2559,144_1,Rep1
2-Isopropyl-3-methoxypyrazine,1000,2-8,3269,144_1,Rep1
2-sec-Butyl-3-methoxypyrazine,10,2-13,2057,144_1,Rep1
2-sec-Butyl-3-methoxypyrazine,100,2-13,4386,144_1,Rep1
2-sec-Butyl-3-methoxypyrazine,1000,2-13,3959,144_1,Rep1
cis-6-Nonenal,10,2-8,5184,144_1,Rep1
cis-6-Nonenal,100,2-8,5333,144_1,Rep1
cis-6-Nonenal,1000,2-8,4580,144_1,Rep1
Cinnamaldehyde,10,2-13,519,144_1,Rep1
Cinnamaldehyde,100,2-13,1919,144_1,Rep1
Cinnamaldehyde,1000,2-13,2084,144_1,Rep1
beta-Damascone,10,2-8,3666,144_1,Rep1
beta-Damascone,100,2-8,2144,144_1,Rep1
beta-Damascone,1000,2-8,8631,144_1,Rep1
[Di]ethyl sulfide,10,2-9,1517,144_1,Rep1
[Di]ethyl sulfide,100,2-9,1605,144_1,Rep1
[Di]ethyl sulfide,1000,2-9,687,144_1,Rep1
Ethyl 2-methylpentanoate,10,2-9,2068,144_1,Rep1
Ethyl 2-methylpentanoate,100,2-9,979,144_1,Rep1
Ethyl 2-methylpentanoate,1000,2-9,1277,144_1,Rep1
Farnesene,10,2-9,2192,144_1,Rep1
Farnesene,100,2-9,1491,144_1,Rep1
Farnesene,1000,2-9,0,144_1,Rep1
"e,b,Farnesene",10,2-9,3632,144_1,Rep1
"e,b,Farnesene",100,2-9,2448,144_1,Rep1
"e,b,Farnesene",1000,2-9,2994,144_1,Rep1
trans-2-Methyl-2-butenal (2MB),10,2-9,2652,144_1,Rep1
trans-2-Methyl-2-butenal (2MB),100,2-9,1934,144_1,Rep1
trans-2-Methyl-2-butenal (2MB),1000,2-9,1527,144_1,Rep1
diacetyl,10,2-9,2334,144_1,Rep1
diacetyl,100,2-9,1836,144_1,Rep1
diacetyl,1000,2-9,3065,144_1,Rep1
galaxolide,10,2-9,1025,144_1,Rep1
galaxolide,100,2-9,2947,144_1,Rep1
galaxolide,1000,2-9,747,144_1,Rep1
isobutyraldehyde,10,2-13,9772,144_1,Rep1
isobutyraldehyde,100,2-13,2880,144_1,Rep1
isobutyraldehyde,1000,2-13,7940,144_1,Rep1
p-cymene,10,2-1,4840,144_1,Rep1
p-cymene,100,2-1,2363,144_1,Rep1
p-cymene,1000,2-1,2442,144_1,Rep1
helional,10,2-9,4985,144_1,Rep1
helional,100,2-9,3150,144_1,Rep1
helional,1000,2-9,6832,144_1,Rep1
"1,9-nonanediol",10,2-9,5284,144_1,Rep1
"1,9-nonanediol",100,2-9,6274,144_1,Rep1
"1,9-nonanediol",1000,2-9,7193,144_1,Rep1
octanedioic acid (suberic acid),10,2-10,0,144_1,Rep1
octanedioic acid (suberic acid),10,2-9,1517,144_1,Rep1
octanedioic acid (suberic acid),100,2-10,2918,144_1,Rep1
octanedioic acid (suberic acid),1000,2-10,3072,144_1,Rep1
decanedioic acid (sebacic acid),10,2-10,4017,144_1,Rep1
decanedioic acid (sebacic acid),100,2-10,1892,144_1,Rep1
decanedioic acid (sebacic acid),1000,2-10,3068,144_1,Rep1
"Anisole (Methoxybenzene, Methyl phenyl ether)",10,2-10,4065,144_1,Rep1
"Anisole (Methoxybenzene, Methyl phenyl ether)",100,2-10,2731,144_1,Rep1
"Anisole (Methoxybenzene, Methyl phenyl ether)",1000,2-10,2749,144_1,Rep1
"2,3-Diethylpyrazine",10,2-10,0,144_1,Rep1
"2,3-Diethylpyrazine",100,2-10,3548,144_1,Rep1
"2,3-Diethylpyrazine",1000,2-10,6420,144_1,Rep1
2-Methylbutyric acid,10,2-10,1259,144_1,Rep1
2-Methylbutyric acid,100,2-10,3895,144_1,Rep1
2-Methylbutyric acid,1000,2-10,3716,144_1,Rep1
Cyclobutanecarboxylic acid,10,2-10,3348,144_1,Rep1
Cyclobutanecarboxylic acid,100,2-10,6628,144_1,Rep1
Cyclobutanecarboxylic acid,1000,2-10,4123,144_1,Rep1
"Isopentylamine (1-Amino-3-methylbutane, Isoamylamine)",10,2-10,4727,144_1,Rep1
"Isopentylamine (1-Amino-3-methylbutane, Isoamylamine)",100,2-10,3445,144_1,Rep1
"Isopentylamine (1-Amino-3-methylbutane, Isoamylamine)",1000,2-10,6076,144_1,Rep1
"Quinoline (1-Benzazine;  2,3-Benzopyridine)",10,2-10,6030,144_1,Rep1
"Quinoline (1-Benzazine;  2,3-Benzopyridine)",100,2-10,4142,144_1,Rep1
"Quinoline (1-Benzazine;  2,3-Benzopyridine)",1000,2-10,5337,144_1,Rep1
Control_1,10,2-1,4796,144_1,Rep1
Control_1,10,2-10,4038,144_1,Rep1
Control_1,10,2-11,2767,144_1,Rep1
Control_1,10,2-12,2481,144_1,Rep1
Control_1,10,2-13,2931,144_1,Rep1
Control_1,10,2-2,3756,144_1,Rep1
Control_1,10,2-3,1581,144_1,Rep1
Control_1,10,2-4,3174,144_1,Rep1
Control_1,10,2-5,4018,144_1,Rep1
Control_1,10,2-6,3348,144_1,Rep1
Control_1,10,2-7,1369,144_1,Rep1
Control_1,10,2-8,3901,144_1,Rep1
Control_1,10,2-9,2586,144_1,Rep1
Control_1,100,2-1,2373,144_1,Rep1
Control_1,100,2-10,3282,144_1,Rep1
Control_1,100,2-11,4616,144_1,Rep1
Control_1,100,2-12,3218,144_1,Rep1
Control_1,100,2-13,5149,144_1,Rep1
Control_1,100,2-2,2659,144_1,Rep1
Control_1,100,2-3,464,144_1,Rep1
Control_1,100,2-4,3333,144_1,Rep1
Control_1,100,2-5,4749,144_1,Rep1
Control_1,100,2-6,2697,144_1,Rep1
Control_1,100,2-7,2864,144_1,Rep1
Control_1,100,2-8,1798,144_1,Rep1
Control_1,100,2-9,4259,144_1,Rep1
Control_1,1000,2-1,3240,144_1,Rep1
Control_1,1000,2-10,3955,144_1,Rep1
Control_1,1000,2-11,1343,144_1,Rep1
Control_1,1000,2-12,2468,144_1,Rep1
Control_1,1000,2-13,3103,144_1,Rep1
Control_1,1000,2-2,0,144_1,Rep1
Control_1,1000,2-3,138,144_1,Rep1
Control_1,1000,2-4,874,144_1,Rep1
Control_1,1000,2-5,2591,144_1,Rep1
Control_1,1000,2-6,236,144_1,Rep1
Control_1,1000,2-7,2230,144_1,Rep1
Control_1,1000,2-8,1732,144_1,Rep1
Control_1,1000,2-9,1704,144_1,Rep1
Control_2,10,2-1,2677,144_1,Rep1
Control_2,10,2-10,1662,144_1,Rep1
Control_2,10,2-11,3910,144_1,Rep1
Control_2,10,2-12,5176,144_1,Rep1
Control_2,10,2-13,5817,144_1,Rep1
Control_2,10,2-2,3057,144_1,Rep1
Control_2,10,2-3,1438,144_1,Rep1
Control_2,10,2-4,4844,144_1,Rep1
Control_2,10,2-5,1368,144_1,Rep1
Control_2,10,2-6,4096,144_1,Rep1
Control_2,10,2-7,4040,144_1,Rep1
Control_2,10,2-8,1966,144_1,Rep1
Control_2,10,2-9,4840,144_1,Rep1
Control_2,100,2-1,1863,144_1,Rep1
Control_2,100,2-10,864,144_1,Rep1
Control_2,100,2-11,1890,144_1,Rep1
Control_2,100,2-12,1457,144_1,Rep1
Control_2,100,2-13,2843,144_1,Rep1
Control_2,100,2-2,4838,144_1,Rep1
Control_2,100,2-3,1603,144_1,Rep1
Control_2,100,2-4,4186,144_1,Rep1
Control_2,100,2-5,637,144_1,Rep1
Control_2,100,2-6,1576,144_1,Rep1
Control_2,100,2-7,1532,144_1,Rep1
Control_2,100,2-8,3451,144_1,Rep1
Control_2,100,2-9,3352,144_1,Rep1
Control_2,1000,2-1,4835,144_1,Rep1
Control_2,1000,2-10,1309,144_1,Rep1
Control_2,1000,2-11,2465,144_1,Rep1
Control_2,1000,2-12,3747,144_1,Rep1
Control_2,1000,2-13,2214,144_1,Rep1
Control_2,1000,2-2,697,144_1,Rep1
Control_2,1000,2-3,1003,144_1,Rep1
Control_2,1000,2-4,4375,144_1,Rep1
Control_2,1000,2-5,3483,144_1,Rep1
Control_2,1000,2-6,940,144_1,Rep1
Control_2,1000,2-7,1182,144_1,Rep1
Control_2,1000,2-8,927,144_1,Rep1
Control_2,1000,2-9,3296,144_1,Rep1
DMSO,-999,2-1,3117,144_1,Rep1
DMSO,-999,2-10,4698,144_1,Rep1
